run_name,ratios,factors,nw_thesis,nw_proposed,reduction,multi_depth,n_weight_types,same_tree_mult,cross_tree_mult,improved,status_thesis,status_proposed
run_34,"[10, 3, 59];[28, 41, 3]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_35,"[21, 16, 35];[57, 13, 2]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_36,"[39, 32, 1];[15, 19, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_37,"[35, 2, 35];[27, 17, 28]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,8,8,0,OPTIMAL,FEASIBLE
run_38,"[63, 2, 7];[7, 26, 39]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_39,"[1, 42, 29];[17, 17, 38]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_40,"[55, 16, 1];[2, 13, 57]","[4, 3, 3, 2];[4, 3, 3, 2]",6,6,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_41,"[5, 65, 2];[48, 23, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_42,"[6, 11, 55];[40, 7, 25]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_43,"[27, 5, 40];[20, 33, 19]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_44,"[23, 30, 19];[4, 19, 49]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_45,"[32, 3, 37];[14, 7, 51]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_46,"[29, 32, 11];[26, 33, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_47,"[29, 1, 42];[4, 21, 47]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_48,"[43, 26, 3];[4, 11, 57]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_49,"[5, 29, 38];[41, 4, 27]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_50,"[25, 25, 22];[1, 55, 16]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_51,"[9, 47, 16];[41, 2, 29]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_52,"[40, 25, 7];[42, 11, 19]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_53,"[17, 54, 1];[25, 29, 18]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_54,"[39, 13, 20];[1, 70, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",5,5,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_55,"[27, 29, 16];[28, 29, 15]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,8,8,0,FEASIBLE,FEASIBLE
run_56,"[11, 26, 35];[43, 23, 6]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_57,"[29, 11, 32];[19, 7, 46]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_58,"[32, 29, 11];[10, 49, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_59,"[1, 18, 53];[14, 41, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_60,"[60, 7, 5];[7, 25, 40]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_61,"[41, 27, 4];[57, 8, 7]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_62,"[21, 40, 11];[63, 4, 5]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_63,"[10, 47, 15];[31, 6, 35]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_64,"[41, 29, 2];[11, 7, 54]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_65,"[9, 19, 44];[53, 1, 18]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,2,2,0,OPTIMAL,OPTIMAL
run_66,"[3, 47, 22];[49, 13, 10]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,4,5,0,OPTIMAL,FEASIBLE
run_67,"[39, 11, 22];[29, 41, 2]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_68,"[35, 21, 16];[4, 59, 9]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_69,"[17, 43, 12];[4, 65, 3]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,5,0,OPTIMAL,OPTIMAL
run_70,"[11, 44, 17];[7, 17, 48]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_71,"[42, 17, 13];[44, 5, 23]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,5,0,OPTIMAL,FEASIBLE
run_72,"[11, 22, 39];[3, 58, 11]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_73,"[9, 20, 43];[3, 17, 52]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,5,4,0,OPTIMAL,FEASIBLE
run_74,"[15, 46, 11];[15, 7, 50]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_75,"[40, 9, 23];[26, 25, 21]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_76,"[14, 25, 33];[48, 7, 17]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,4,4,0,OPTIMAL,OPTIMAL
run_77,"[14, 49, 9];[47, 9, 16]","[4, 3, 3, 2];[4, 3, 3, 2]",2,3,-1,0,2,6,6,0,OPTIMAL,FEASIBLE
run_78,"[23, 33, 16];[35, 32, 5]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,8,8,0,OPTIMAL,FEASIBLE
run_79,"[35, 21, 16];[49, 11, 12]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_80,"[25, 42, 5];[11, 20, 41]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_81,"[31, 30, 11];[58, 5, 9]","[4, 3, 3, 2];[4, 3, 3, 2]",3,3,0,0,2,4,5,0,OPTIMAL,FEASIBLE
run_82,"[29, 9, 34];[61, 10, 1]","[4, 3, 3, 2];[4, 3, 3, 2]",4,4,0,0,2,5,4,0,OPTIMAL,OPTIMAL
run_83,"[43, 28, 1];[46, 13, 13]","[4, 3, 3, 2];[4, 3, 3, 2]",2,2,0,0,2,3,3,0,OPTIMAL,OPTIMAL
run_84,"[16, 9, 47];[16, 25, 31]","[4, 3, 3, 2];[4, 3, 3, 2]",1,1,0,0,2,6,6,0,OPTIMAL,FEASIBLE
run_85,"[13, 24, 35];[25, 13, 34]","[4, 3, 3, 2];[4, 3, 3, 2]",2,3,-1,0,2,4,4,0,OPTIMAL,FEASIBLE
