run_name,ratios,factors,nw_thesis,nw_proposed,reduction,multi_depth,n_weight_types,same_tree_mult,cross_tree_mult,improved,status_thesis,status_proposed
run_1,"[8, 1, 9];[5, 3, 10]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_2,"[1, 2, 15];[7, 1, 10]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_3,"[1, 5, 12];[11, 3, 4]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_4,"[7, 4, 7];[3, 1, 14]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_5,"[12, 5, 1];[2, 7, 9]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_6,"[3, 10, 5];[3, 4, 11]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_7,"[3, 7, 8];[9, 4, 5]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_8,"[7, 5, 6];[9, 4, 5]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_9,"[2, 9, 7];[9, 4, 5]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_10,"[7, 4, 7];[13, 3, 2]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_11,"[5, 4, 9];[8, 1, 9]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_12,"[5, 11, 2];[2, 1, 15]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_13,"[3, 10, 5];[13, 2, 3]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_14,"[4, 5, 9];[4, 7, 7]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_15,"[1, 8, 9];[6, 11, 1]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_16,"[7, 10, 1];[5, 7, 6]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_17,"[11, 5, 2];[1, 3, 14]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_18,"[3, 5, 10];[3, 13, 2]","[3, 3, 2];[3, 3, 2]",0,0,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_19,"[5, 11, 2];[14, 3, 1]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_20,"[10, 3, 5];[15, 2, 1]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_21,"[3, 5, 10];[1, 10, 7]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_22,"[1, 2, 15];[2, 1, 15]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_23,"[8, 9, 1];[9, 7, 2]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_24,"[4, 3, 11];[14, 1, 3]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_25,"[2, 11, 5];[4, 7, 7]","[3, 3, 2];[3, 3, 2]",0,0,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_26,"[7, 8, 3];[5, 9, 4]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_27,"[8, 7, 3];[1, 2, 15]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_28,"[7, 9, 2];[2, 11, 5]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_29,"[1, 12, 5];[5, 11, 2]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_30,"[2, 5, 11];[2, 9, 7]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_31,"[2, 1, 15];[3, 5, 10]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_32,"[3, 11, 4];[11, 6, 1]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_33,"[8, 3, 7];[9, 4, 5]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_34,"[11, 4, 3];[1, 2, 15]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_35,"[3, 4, 11];[9, 8, 1]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_36,"[3, 5, 10];[1, 9, 8]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_37,"[5, 4, 9];[4, 13, 1]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_38,"[7, 3, 8];[7, 4, 7]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_39,"[2, 7, 9];[3, 11, 4]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_40,"[1, 10, 7];[5, 4, 9]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_41,"[1, 13, 4];[3, 1, 14]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_42,"[5, 7, 6];[5, 9, 4]","[3, 3, 2];[3, 3, 2]",1,1,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_43,"[7, 5, 6];[5, 3, 10]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_44,"[1, 13, 4];[6, 5, 7]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_45,"[4, 9, 5];[7, 1, 10]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_46,"[1, 7, 10];[7, 6, 5]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_47,"[12, 1, 5];[1, 10, 7]","[3, 3, 2];[3, 3, 2]",3,3,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_48,"[11, 3, 4];[4, 13, 1]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
run_49,"[2, 7, 9];[1, 13, 4]","[3, 3, 2];[3, 3, 2]",2,2,0,0,1,0,0,0,OPTIMAL,OPTIMAL
